claim_id,article_id,published_at,date,published_date,source,journalist,club,player,season,direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,label
c1239c265500553e,7e54ebd822217b8e,2022-01-31T21:47:08Z,2022-01-31,2022-01-31,The Guardian / PA Media and Guardian sport,PA Media and Guardian sport,Juventus,Dušan Vlahović,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.7234,0.7234,0.7752,0.84,0.8587,0.8667,0.8013,0.4,0.65,0.95,2,0.68,0,0.5667,unclear,report,1,1,0.7752,0.7752,0.7234,0.7234,
c54d0a4a0d23d674,2f1915d2b36f59bb,2022-01-27T19:33:05Z,2022-01-27,2022-01-27,"The Guardian / Fabrizio Romano, Will Unwin, Jacob Steinberg and PA Media","Fabrizio Romano, Will Unwin, Jacob Steinberg and PA Media",Juventus,Dušan Vlahović,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.749,0.749,0.8433,0.95,0.9558,0.9583,0.9299,0.4,0.45,0.95,2,0.88,0,0.7333,unclear,aggregate,1,1,0.8433,0.8433,0.749,0.749,
5fc8059c14398be3,61c8eb13f5d0ed5b,2022-01-25T14:44:40Z,2022-01-25,2022-01-25,The Guardian / Fabrizio Romano,Fabrizio Romano,Juventus,Dušan Vlahović,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.8273,0.8273,0.8597,0.95,0.8428,0.7969,0.9128,0.82,0.65,0.95,22,1.06,0,0.8833,agreed,report,1,1,0.8597,0.8597,0.8273,0.8273,
b27671f2020b976d,2c8f02c32b026c86,2021-07-23T12:03:08Z,2021-07-23,2021-07-23,The Guardian / Guardian sport,Guardian sport,Borussia Dortmund,Jadon Sancho,2021-22,out,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.6362,0.5556,0.6861,0.6861,0.7277,0.84,0.7945,0.775,0.6382,0.4,0.65,0.95,6,1.06,0,0.8833,unclear,report,1,1,0.7277,0.7277,0.6861,0.6861,
bbc168cc6bb8e6d6,e6e58cd55828900b,2021-07-01T13:57:19Z,2021-07-01,2021-07-01,The Guardian / Fabrizio Romano and Jamie Jackson,Fabrizio Romano and Jamie Jackson,Borussia Dortmund,Jadon Sancho,2021-22,out,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.6362,0.5556,0.8475,0.8475,0.9045,0.95,0.9558,0.9583,0.9619,0.82,0.65,0.65,2,0.96,0,0.8,agreed,report,1,1,0.9045,0.9045,0.8475,0.8475,
85e586791b831f36,d714d2c6092b4e28,2021-06-23T20:32:16Z,2021-06-23,2021-06-23,The Guardian / Fabrizio Romano,Fabrizio Romano,Borussia Dortmund,Jadon Sancho,2023-24,in,permanent,0,23.0,Left Winger,25000000.0,0.0,,0.0,25000000.0,0.975,0.8208,0.6737,0.6737,0.7009,0.95,0.8428,0.7969,0.6029,0.72,0.65,0.25,22,0.78,1,0.5525,advanced,report,1,1,0.7009,0.7009,0.6737,0.6737,
82a2679bc5cdb3ac,006fe6af8b6eea18,2023-08-05T12:03:41Z,2023-08-05,2023-08-05,The Guardian / John Brewin and PA Media,John Brewin and PA Media,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.7295,0.7295,0.7904,0.84,0.8587,0.8667,0.9533,0.4,0.65,0.95,2,1.06,0,0.8833,unclear,report,1,1,0.7904,0.7904,0.7295,0.7295,
c6c93733198bdd2c,88f6cb12806a665f,2023-07-27T11:00:34Z,2023-07-27,2023-07-27,The Guardian / Jamie Jackson in Houston,Jamie Jackson in Houston,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.8011,0.8011,0.8344,0.84,0.8587,0.8667,0.9133,0.82,0.65,0.65,2,0.96,0,0.8,agreed,report,1,1,0.8344,0.8344,0.8011,0.8011,
34c92b6283dfc797,caff2f591d94a597,2023-07-29T19:07:44Z,2023-07-29,2023-07-29,The Guardian / Jamie Jackson,Jamie Jackson,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.6208,0.6208,0.6683,0.84,0.6842,0.6174,0.6295,0.4,0.65,0.85,36,0.98,0,0.8167,unclear,report,1,1,0.6683,0.6683,0.6208,0.6208,
12f632a140788e9a,b279995d1a498369,2023-07-26T16:21:16Z,2023-07-26,2023-07-26,The Guardian / Fabrizio Romano,Fabrizio Romano,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.6693,0.6693,0.7499,0.95,0.8428,0.7969,0.5943,0.4,0.65,0.65,22,1.0,0,0.8333,unclear,report,1,1,0.7499,0.7499,0.6693,0.6693,
