claim_id,article_id,published_at,source,journalist,primary_player,primary_club,rumor_stage,transfer_direction,is_transfer_related,matched_transfer_id,match_score,match_reason,ambiguity_flag,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,article_type,historical_support_n,credibility_notes
2b98f089c497a496,2f20309697e90ebf,2025-06-01T13:28:35Z,The Guardian / Will Unwin,Will Unwin,Matheus Cunha,Manchester United,official,in,1,,0.0,missing_player_signal,0,0.7945,0.84,0.7752,0.7474,0.6747,0.95,0.9,0.5,official,28,unmatched_claim
63180503b27c3eb9,774efd848ce7bd2f,2025-06-12T13:10:50Z,The Guardian / Jamie Jackson,Jamie Jackson,Matheus Cunha,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.707,0.65,0.4708,0.4,0.65,0.5,report,6,not_transfer_related|unmatched_claim
d89c56486644c826,4553052296788442,2025-07-04T14:58:00Z,The Guardian / Will Unwin,Will Unwin,Matheus Cunha,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.7752,0.7474,0.6747,0.4,0.65,0.5,report,28,not_transfer_related|unmatched_claim
119e338ebe7ac354,68ef3339a0b65707,2025-06-08T07:02:32Z,The Guardian / Jonathan Liew,Jonathan Liew,Matheus Cunha,Manchester United,unclear,in,1,,0.0,missing_player_signal,0,0.638,0.84,0.742,0.7,0.371,0.4,0.35,0.5,analysis,2,unmatched_claim|low_history_support
b54325c85c0381c4,d6049d352e5fd6d6,2025-06-24T16:15:42Z,The Guardian / Jacob Steinberg in Philadelphia,Jacob Steinberg in Philadelphia,Jamie Gittens,Borussia Dortmund,agreed,out,1,,0.0,missing_player_signal,0,0.716,0.84,0.742,0.7,0.371,0.82,0.65,0.5,report,2,unmatched_claim|low_history_support
30209a8ee051d8dc,725ac49b3878fa53,2025-06-28T18:44:16Z,The Guardian / Jacob Steinberg and Ed Aarons,Jacob Steinberg and Ed Aarons,Jamie Gittens,Borussia Dortmund,unclear,in,1,,0.0,missing_player_signal,0,0.6691,0.84,0.772,0.7429,0.386,0.4,0.65,0.5,report,4,unmatched_claim
2d2c86e40404269e,f976a701012bb1c7,2025-07-05T20:30:33Z,The Guardian / Jacob Steinberg and Ben Fisher,Jacob Steinberg and Ben Fisher,Jamie Gittens,Borussia Dortmund,unclear,in,1,acf808e6135e92e0,0.86,exact_player|exact_club|season_match|date_near|direction_conflict|type_match|fee_close,0,0.7895,0.84,0.872,0.8857,0.88,0.4,0.65,0.95,report,4,
4ee9be268104a850,e64c3f9eba01f56b,2025-06-10T13:53:48Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Jamie Gittens,Borussia Dortmund,bid,in,1,,0.0,missing_player_signal,0,0.7451,0.84,0.812,0.8,0.6518,0.6,0.65,0.5,report,18,unmatched_claim
a4c009d9bebd953b,4e6cdc5ccdca36a7,2025-07-09T15:09:05Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Jamie Gittens,Borussia Dortmund,agreed,in,1,acf808e6135e92e0,0.82,exact_player|exact_club|season_match|date_near|direction_conflict|type_match|fee_similar,0,0.7856,0.84,0.812,0.8,0.6518,0.82,0.45,0.85,aggregate,18,
5da73c643e684e11,ed7f017dc179166f,2025-08-27T17:58:27Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Alejandro Garnacho,Manchester United,advanced,in,1,ddd28bddba1ace36,0.86,exact_player|exact_club|season_match|date_near|direction_conflict|type_match|fee_close,0,0.8054,0.84,0.812,0.8,0.85,0.72,0.65,0.95,report,18,
766693d7c9d31fb3,b1d8510f640a921c,2025-08-28T19:34:33Z,"The Guardian / Jamie Jackson, Jacob Steinberg and David Hytner","Jamie Jackson, Jacob Steinberg and David Hytner",Alejandro Garnacho,Manchester United,unclear,out,1,ddd28bddba1ace36,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.7904,0.84,0.8587,0.8667,0.9533,0.4,0.65,0.95,report,2,low_history_support
d02cc06d7405b994,16ef0961873a289c,2025-08-12T17:16:23Z,"The Guardian / Andy Hunter, Ed Aarons and Jacob Steinberg","Andy Hunter, Ed Aarons and Jacob Steinberg",Alejandro Garnacho,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.2,0.5,live_blog,2,not_transfer_related|unmatched_claim|live_blog_penalty|low_history_support
46e8f6a96ba2cbf1,84934a4720c05ee9,2025-08-06T13:10:23Z,The Guardian / Ed Aarons,Ed Aarons,Alejandro Garnacho,Manchester United,unclear,out,1,ddd28bddba1ace36,0.96,exact_player|exact_club|season_match|date_near|direction_match|type_match,0,0.7259,0.84,0.7738,0.7455,0.8709,0.4,0.65,0.65,report,12,
a2c01f85243dfb59,dcb48f2edd0674dd,2025-07-04T17:21:20Z,"The Guardian / Ed Aarons, Will Unwin and Jacob Steinberg","Ed Aarons, Will Unwin and Jacob Steinberg",Francisco Conceição,Juventus,agreed,in,1,1a160ec7dfda2e2a,0.96,exact_player|exact_club|season_match|date_near|direction_match|type_match,0,0.8244,0.84,0.8587,0.8667,0.9133,0.82,0.45,0.65,aggregate,2,low_history_support
50c771a4e0cf9c17,564d80c3439d4d33,2025-07-03T10:15:45Z,The Guardian / Tom Bassam,Tom Bassam,Francisco Conceição,Juventus,linked,unclear,1,1a160ec7dfda2e2a,0.88,exact_player|exact_club|season_match|date_near|type_match,0,0.7702,0.84,0.8587,0.8667,0.8813,0.48,0.45,0.65,aggregate,2,low_history_support
f1a9c8885c7ebe2e,83f842cabfc5e933,2025-07-18T08:44:19Z,The Guardian / Michael Butler,Michael Butler,Francisco Conceição,Juventus,linked,in,1,1a160ec7dfda2e2a,0.98,exact_player|exact_club|season_match|date_near|direction_match|type_match,0,0.7378,0.84,0.772,0.7429,0.878,0.48,0.45,0.85,aggregate,4,
719784336234409e,6ec8f4acea8abc9d,2025-07-20T11:56:44Z,The Guardian / John Brewin,John Brewin,Francisco Conceição,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.7342,0.6889,0.3671,0.4,0.2,0.5,live_blog,8,not_transfer_related|unmatched_claim|live_blog_penalty
5f145cb534345b3b,39d70279e1d8b09f,2025-06-03T09:00:12Z,The Guardian / Michael Butler,Michael Butler,Jobe Bellingham,Borussia Dortmund,advanced,in,1,,0.0,missing_player_signal,0,0.7071,0.84,0.772,0.7429,0.386,0.72,0.45,0.5,aggregate,4,unmatched_claim
2ce77f5f9daf3678,72819b22b0bba242,2025-06-08T19:54:53Z,The Guardian / Louise Taylor,Louise Taylor,Jobe Bellingham,Borussia Dortmund,unclear,unclear,1,,0.0,missing_player_signal,0,0.653,0.84,0.742,0.7,0.371,0.4,0.65,0.5,report,2,unmatched_claim|low_history_support
1266aad192101b3d,e0d315982dd512ae,2025-05-28T12:28:14Z,The Guardian / Ed Aarons,Ed Aarons,Jobe Bellingham,Borussia Dortmund,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.7738,0.7455,0.5673,0.4,0.65,0.5,report,12,not_transfer_related|unmatched_claim
0db19ff93a55a3c7,c8d7337dbc4bc7eb,2025-06-13T16:12:03Z,The Guardian / Ed Aarons,Ed Aarons,Jobe Bellingham,Borussia Dortmund,talks,in,1,,0.0,missing_player_signal,0,0.7106,0.84,0.7738,0.7455,0.5673,0.55,0.65,0.5,report,12,unmatched_claim
8e57c14ba0b71cd5,0b22223fb869a297,2025-05-15T15:03:39Z,The Guardian / Will Unwin and Andy Hunter,Will Unwin and Andy Hunter,Jobe Bellingham,Borussia Dortmund,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.2,0.5,live_blog,2,not_transfer_related|unmatched_claim|live_blog_penalty|low_history_support
c2d3dc9b7776143d,758a1f9c52eb0b1f,2026-01-02T21:16:00Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Taty Castellanos,Lazio,unclear,in,1,da42489b2bd7e783,0.82,exact_player|exact_club|season_match|date_near|direction_conflict|type_match|fee_similar,0,0.7421,0.84,0.812,0.8,0.6967,0.4,0.65,0.95,report,18,
a2da2c370b36efc9,6661906740a3a9fd,2026-01-05T14:31:13Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Taty Castellanos,Lazio,talks,in,1,da42489b2bd7e783,0.78,exact_player|exact_club|season_match|date_near|direction_conflict|type_match,0,0.7646,0.84,0.812,0.8,0.6967,0.55,0.65,0.95,report,18,
7143ecdaf3d116a6,5f5f71344f38de5d,2026-01-04T12:42:05Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Taty Castellanos,Lazio,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.812,0.8,0.6967,0.4,0.65,0.5,report,18,not_transfer_related|unmatched_claim
77f3f6546e9802e9,e87ac6d89bf601c3,2026-01-02T09:38:06Z,The Guardian / Tom Davies,Tom Davies,Taty Castellanos,Lazio,linked,unclear,1,da42489b2bd7e783,0.9,exact_player|exact_club|season_match|date_near|type_match,0,0.7931,0.84,0.872,0.8857,0.896,0.48,0.45,0.95,aggregate,4,
4eeede49a90a517c,9cba918ce89bcd63,2026-01-06T07:25:06Z,The Guardian / Will Unwin,Will Unwin,Taty Castellanos,Lazio,linked,in,1,da42489b2bd7e783,0.78,exact_player|exact_club|season_match|date_near|direction_conflict|type_match,0,0.7318,0.84,0.7752,0.7474,0.7525,0.48,0.45,0.95,aggregate,28,
4c5e4b358b5b3519,33e2c5cc59f3fe0a,2025-06-13T17:10:08Z,The Guardian / Andy Hunter and Agencies,Andy Hunter and Agencies,Nico González,Juventus,unclear,in,1,4913905b7b46e49c,0.88,exact_player|exact_club|season_match|direction_match|type_match,0,0.7382,0.84,0.8587,0.8667,0.8813,0.4,0.45,0.25,aggregate,2,low_history_support
c09f726e291120d6,329c9fa3403a9b9c,2026-01-01T00:01:23Z,The Guardian / Will Unwin,Will Unwin,Mattéo Guendouzi,Lazio,bid,in,1,176d5e8f771e11b1,0.78,exact_player|exact_club|season_match|date_near|direction_conflict|type_match,0,0.7448,0.84,0.7752,0.7474,0.7525,0.6,0.45,0.85,aggregate,28,
c78b2a612c568041,83ae920e52f8d6a3,2025-12-22T15:12:02Z,The Guardian / Jacob Steinberg,Jacob Steinberg,Mattéo Guendouzi,Lazio,agreed,in,1,176d5e8f771e11b1,0.66,exact_player|exact_club|season_match|date_near|direction_conflict|type_conflict,0,0.7901,0.84,0.812,0.8,0.6967,0.82,0.65,0.65,report,18,
6429fcc9426cb149,924f4ff1f58af699,2026-01-08T09:14:57Z,The Guardian / John Brewin,John Brewin,Mattéo Guendouzi,Lazio,linked,unclear,1,176d5e8f771e11b1,0.9,exact_player|exact_club|season_match|date_near|type_match,0,0.7193,0.84,0.7342,0.6889,0.8271,0.48,0.45,0.95,aggregate,8,
c2106a506f7253ea,cc6f131c076563ae,2026-01-07T08:18:42Z,The Guardian / Exclusive by Tom Garry,Exclusive by Tom Garry,Mattéo Guendouzi,Lazio,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.85,0.5,exclusive,2,not_transfer_related|unmatched_claim|low_history_support
